skmodel,average_probs,std_probs,train_sr_all,train_sr_0,train_sr_1,train_air_1,pred_sr_all,pred_sr_0,pred_sr_1,pred_air_1,accuracy,bal_accuracy,gt_accuracy,gt_bal_accuracy,gt_sr_0,gt_sr_1,gt_sr_all,accuracy_p0,accuracy_p1,gt_accuracy_p0,gt_accuracy_p1,gt_train_cm_all,gt_train_cm_p0,gt_train_cm_p1,cm_p0,cm_p1,cm_p0_gt,cm_p1_gt,experiment_name,dataset_name,study,timestamp,sample_size,class_sep,flip_percentage,cm_p0_gt_tn,cm_p0_gt_fp,cm_p0_gt_fn,cm_p0_gt_tp,cm_p1_gt_tn,cm_p1_gt_fp,cm_p1_gt_fn,cm_p1_gt_tp,cm_p0_tn,cm_p0_fp,cm_p0_fn,cm_p0_tp,cm_p1_tn,cm_p1_fp,cm_p1_fn,cm_p1_tp,gt_train_cm_all_tn,gt_train_cm_all_fp,gt_train_cm_all_fn,gt_train_cm_all_tp,gt_train_cm_p0_tn,gt_train_cm_p0_fp,gt_train_cm_p0_fn,gt_train_cm_p0_tp,gt_train_cm_p1_tn,gt_train_cm_p1_fp,gt_train_cm_p1_fn,gt_train_cm_p1_tp,data_group,train_spd_1,train_eod_1,pred_spd_p1,pred_eod_p1,fair_index
RandomForestClassifier,0.7154,0.1284,0.5914,0.5948,0.5682,0.9553,0.6467,0.6527,0.6053,0.9274,0.6766666666666666,0.6578899458376952,0.6866666666666666,0.6662390029325513,0.5878,0.5789,0.5867,0.6692520442520442,0.5789473684210527,0.6692520442520442,0.6448863636363636,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 59  49]
 [ 32 122]]","[[ 9 10]
 [ 6 13]]","[[ 59  49]
 [ 32 122]]","[[ 9  7]
 [ 6 16]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:00.701458,1000,1.0,0.1,59,49,32,122,9,7,6,16,59,49,32,122,9.0,10.0,6.0,13.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.10799726589200276,-0.0474,-0.10799726589200276,-0.07769863294600138
LogisticRegression,0.6928,0.0561,0.5914,0.5948,0.5682,0.9553,0.83,0.8473,0.7105,0.8385,0.68,0.6325155887305994,0.6833333333333333,0.6300403225806451,0.5878,0.5789,0.5867,0.6221741221741222,0.6842105263157895,0.6221741221741222,0.6818181818181819,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 32  76]
 [  8 146]]","[[ 9 10]
 [ 2 17]]","[[ 32  76]
 [  8 146]]","[[ 8  8]
 [ 3 19]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:00.777731,1000,1.0,0.1,32,76,8,146,8,8,3,19,32,76,8,146,9.0,10.0,2.0,17.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.05331510594668487,-0.13680000000000003,-0.05331510594668487,-0.09505755297334245
SVC,0.5959,0.1522,0.5914,0.5948,0.5682,0.9553,1.0,1.0,1.0,1.0,0.5766666666666667,0.5,0.5866666666666667,0.5,0.5878,0.5789,0.5867,0.5,0.5,0.5,0.5,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[  0 108]
 [  0 154]]","[[ 0 19]
 [ 0 19]]","[[  0 108]
 [  0 154]]","[[ 0 16]
 [ 0 22]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:00.847267,1000,1.0,0.1,0,108,0,154,0,16,0,22,0,108,0,154,0.0,19.0,0.0,19.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,0.0,0.0,0.0,0.0
LinearDiscriminantAnalysis,0.7209,0.0961,0.5914,0.5948,0.5682,0.9553,0.8167,0.8244,0.7632,0.9257,0.68,0.6346092576578217,0.6833333333333333,0.6324230205278593,0.5878,0.5789,0.5867,0.6341991341991342,0.631578947368421,0.6341991341991342,0.6193181818181819,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 36  72]
 [ 10 144]]","[[ 7 12]
 [ 2 17]]","[[ 36  72]
 [ 10 144]]","[[ 6 10]
 [ 3 19]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:00.894299,1000,1.0,0.1,36,72,10,144,6,10,3,19,36,72,10,144,7.0,12.0,2.0,17.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.04032809295967188,-0.06120000000000003,-0.04032809295967188,-0.050764046479835956
GradientBoostingClassifier,0.7133,0.1082,0.5914,0.5948,0.5682,0.9553,0.7633,0.7748,0.6842,0.8831,0.7133333333333334,0.6771198397888125,0.7166666666666667,0.6763196480938416,0.5878,0.5789,0.5867,0.6786315536315536,0.6578947368421052,0.6786315536315536,0.6590909090909092,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 47  61]
 [ 12 142]]","[[ 9 10]
 [ 3 16]]","[[ 47  61]
 [ 12 142]]","[[ 8  8]
 [ 4 18]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:01.112901,1000,1.0,0.1,47,61,12,142,8,8,4,18,47,61,12,142,9.0,10.0,3.0,16.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.07997265892002736,-0.09060000000000001,-0.07997265892002736,-0.08528632946001369
MLPClassifier,0.9927,0.047,0.5914,0.5948,0.5682,0.9553,0.0333,0.0382,0.0,0.0,0.4233333333333333,0.4947658276819444,0.4133333333333333,0.4940432551319648,0.5878,0.5789,0.5867,0.493085618085618,0.5,0.493085618085618,0.5,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[103   5]
 [149   5]]","[[19  0]
 [19  0]]","[[103   5]
 [149   5]]","[[16  0]
 [22  0]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:01.356048,1000,1.0,0.1,103,5,149,5,16,0,22,0,103,5,149,5,19.0,0.0,19.0,0.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.032467532467532464,-0.0382,-0.032467532467532464,-0.03533376623376623
KNeighborsClassifier,0.7253,0.1408,0.5914,0.5948,0.5682,0.9553,0.7933,0.8053,0.7105,0.8823,0.55,0.5051431432342633,0.56,0.5094391495601173,0.5878,0.5789,0.5867,0.4919432419432419,0.5789473684210527,0.4919432419432419,0.6278409090909092,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 20  88]
 [ 31 123]]","[[ 7 12]
 [ 4 15]]","[[ 20  88]
 [ 31 123]]","[[ 7  9]
 [ 4 18]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:01.405495,1000,1.0,0.1,20,88,31,123,7,9,4,18,20,88,31,123,7.0,12.0,4.0,15.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.009227614490772362,-0.0948,-0.009227614490772362,-0.05201380724538618
QuadraticDiscriminantAnalysis,0.9935,0.0396,0.5914,0.5948,0.5682,0.9553,0.89,0.9008,0.8158,0.9057,0.62,0.561649446998316,0.63,0.5643328445747801,0.5878,0.5789,0.5867,0.5494829244829245,0.631578947368421,0.5494829244829245,0.6647727272727273,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 17  91]
 [  9 145]]","[[ 6 13]
 [ 1 18]]","[[ 17  91]
 [  9 145]]","[[ 6 10]
 [ 1 21]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:01.488053,1000,1.0,0.1,17,91,9,145,6,10,1,21,17,91,9,145,6.0,13.0,1.0,18.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,0.005809979494189932,-0.08500000000000008,0.005809979494189932,-0.03959501025290507
GaussianNB,0.92,0.0529,0.5914,0.5948,0.5682,0.9553,0.83,0.8473,0.7105,0.8385,0.68,0.6325155887305994,0.6833333333333333,0.6300403225806451,0.5878,0.5789,0.5867,0.6221741221741222,0.6842105263157895,0.6221741221741222,0.6818181818181819,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 32  76]
 [  8 146]]","[[ 9 10]
 [ 2 17]]","[[ 32  76]
 [  8 146]]","[[ 8  8]
 [ 3 19]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:01.564121,1000,1.0,0.1,32,76,8,146,8,8,3,19,32,76,8,146,9.0,10.0,2.0,17.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.05331510594668487,-0.13680000000000003,-0.05331510594668487,-0.09505755297334245
XGBClassifier,0.8062999844551086,0.1503999978303909,0.5914,0.5948,0.5682,0.9553,0.6567,0.6756,0.5263,0.7791,0.6866666666666666,0.6665604660689091,0.6966666666666667,0.6747617302052786,0.5878,0.5789,0.5867,0.6651034151034151,0.6578947368421053,0.6651034151034151,0.7386363636363636,"[[282   0]
 [  4 414]]","[[248   0]
 [  0 364]]","[[34  0]
 [ 4 50]]","[[ 56  52]
 [ 29 125]]","[[12  7]
 [ 6 13]]","[[ 56  52]
 [ 29 125]]","[[12  4]
 [ 6 16]]",unfair,sample_1000_sep_1_flipped_0.1.csv,study_adult,2025-09-21T11:13:01.744240,1000,1.0,0.1,56,52,29,125,12,4,6,16,56,52,29,125,12.0,7.0,6.0,13.0,282,0,4,414,248.0,0.0,0.0,364.0,34,0,4,50,1.0,-0.026599999999999957,-0.1274777853725222,-0.1493,-0.1274777853725222,-0.1383888926862611
