skmodel,average_probs,std_probs,train_sr_all,train_sr_0,train_sr_1,train_air_1,pred_sr_all,pred_sr_0,pred_sr_1,pred_air_1,accuracy,bal_accuracy,gt_accuracy,gt_bal_accuracy,gt_sr_0,gt_sr_1,gt_sr_all,accuracy_p0,accuracy_p1,gt_accuracy_p0,gt_accuracy_p1,gt_train_cm_all,gt_train_cm_p0,gt_train_cm_p1,cm_p0,cm_p1,cm_p0_gt,cm_p1_gt,experiment_name,dataset_name,study,timestamp,sample_size,class_sep,flip_percentage,cm_p0_gt_tn,cm_p0_gt_fp,cm_p0_gt_fn,cm_p0_gt_tp,cm_p1_gt_tn,cm_p1_gt_fp,cm_p1_gt_fn,cm_p1_gt_tp,cm_p0_tn,cm_p0_fp,cm_p0_fn,cm_p0_tp,cm_p1_tn,cm_p1_fp,cm_p1_fn,cm_p1_tp,gt_train_cm_all_tn,gt_train_cm_all_fp,gt_train_cm_all_fn,gt_train_cm_all_tp,gt_train_cm_p0_tn,gt_train_cm_p0_fp,gt_train_cm_p0_fn,gt_train_cm_p0_tp,gt_train_cm_p1_tn,gt_train_cm_p1_fp,gt_train_cm_p1_fn,gt_train_cm_p1_tp,data_group,train_spd_1,train_eod_1,pred_spd_p1,pred_eod_p1,fair_index
SVC,0.9041,0.1625,0.0952,0.1537,0.0197,0.1278,0.0133,0.0237,0.0,0.0,0.9122222222222224,0.5659340659340659,0.8977777777777778,0.5576923076923077,0.1755,0.0382,0.1156,0.5674157303370786,0.5,0.5674157303370786,0.5,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[418   0]
 [ 77  12]]","[[391   0]
 [  2   0]]","[[418   0]
 [ 77  12]]","[[378   0]
 [ 15   0]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:07.522903,3000,3.0,0.7,418,0,77,12,378,0,15,0,418,0,77,12,391.0,0.0,2.0,0.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,-0.1348314606741573,-0.0237,-0.1348314606741573,-0.07926573033707865
LinearDiscriminantAnalysis,0.9745,0.0706,0.0952,0.1537,0.0197,0.1278,0.07,0.1223,0.0025,0.0208,0.9533333333333334,0.8033659788913188,0.9411111111111112,0.770269617317356,0.1755,0.0382,0.1156,0.8074297080802108,0.4987212276214833,0.8074297080802108,0.5333333333333333,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[412   6]
 [ 33  56]]","[[390   1]
 [  2   0]]","[[412   6]
 [ 33  56]]","[[378   0]
 [ 14   1]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:07.616115,3000,3.0,0.7,412,6,33,56,378,0,14,1,412,6,33,56,390.0,1.0,2.0,0.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,-0.6292134831460674,-0.1198,-0.6292134831460674,-0.3745067415730337
GradientBoostingClassifier,0.9657,0.0609,0.0952,0.1537,0.0197,0.1278,0.0767,0.1262,0.0127,0.1008,0.9666666666666668,0.8546706692565778,0.9611111111111112,0.8317307692307692,0.1755,0.0382,0.1156,0.8595505617977528,0.7448849104859335,0.8595505617977528,0.6666666666666666,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[418   0]
 [ 25  64]]","[[387   4]
 [  1   1]]","[[418   0]
 [ 25  64]]","[[378   0]
 [ 10   5]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:07.961494,3000,3.0,0.7,418,0,25,64,378,0,10,5,418,0,25,64,387.0,4.0,1.0,1.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,-0.2191011235955056,-0.1135,-0.2191011235955056,-0.1663005617977528
MLPClassifier,1.0,0.0,0.0952,0.1537,0.0197,0.1278,0.0444,0.069,0.0127,0.1843,0.9322222222222222,0.6892174574498431,0.9288888888888888,0.6923076923076923,0.1755,0.0382,0.1156,0.6966292134831461,0.4936061381074169,0.6966292134831461,0.6666666666666666,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[418   0]
 [ 54  35]]","[[386   5]
 [  2   0]]","[[418   0]
 [ 54  35]]","[[378   0]
 [ 10   5]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:08.336608,3000,3.0,0.7,418,0,54,35,378,0,10,5,418,0,54,35,386.0,5.0,2.0,0.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,-0.39325842696629215,-0.0563,-0.39325842696629215,-0.22477921348314608
KNeighborsClassifier,0.9576,0.0954,0.0952,0.1537,0.0197,0.1278,0.0622,0.0966,0.0178,0.1843,0.9455555555555556,0.7649044404297803,0.9466666666666668,0.7692307692307692,0.1755,0.0382,0.1156,0.7752808988764045,0.4910485933503836,0.7752808988764045,0.7333333333333334,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[418   0]
 [ 40  49]]","[[384   7]
 [  2   0]]","[[418   0]
 [ 40  49]]","[[378   0]
 [  8   7]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:08.389169,3000,3.0,0.7,418,0,40,49,378,0,8,7,418,0,40,49,384.0,7.0,2.0,0.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,-0.550561797752809,-0.07880000000000001,-0.550561797752809,-0.3146808988764045
QuadraticDiscriminantAnalysis,0.9973,0.0222,0.0952,0.1537,0.0197,0.1278,0.9044,0.9014,0.9084,1.0078,0.1922222222222222,0.5409269346228555,0.2066666666666666,0.5431484344800928,0.1755,0.0382,0.1156,0.5461803128864039,0.5460358056265985,0.5461803128864039,0.5476190476190477,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[ 48 370]
 [  2  87]]","[[ 36 355]
 [  0   2]]","[[ 48 370]
 [  2  87]]","[[ 36 342]
 [  0  15]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:08.507988,3000,3.0,0.7,48,370,2,87,36,342,0,15,48,370,2,87,36.0,355.0,0.0,2.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,0.022471910112359605,0.007000000000000006,0.022471910112359605,0.014735955056179806
GaussianNB,0.9939,0.028,0.0952,0.1537,0.0197,0.1278,0.0544,0.0789,0.0229,0.2903,0.9355555555555556,0.7203303495021666,0.9366666666666666,0.7301410900657133,0.1755,0.0382,0.1156,0.7247191011235955,0.739769820971867,0.7247191011235955,0.7653439153439153,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[418   0]
 [ 49  40]]","[[383   8]
 [  1   1]]","[[418   0]
 [ 49  40]]","[[377   1]
 [  7   8]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:08.542525,3000,3.0,0.7,418,0,49,40,377,1,7,8,418,0,49,40,383.0,8.0,1.0,1.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,0.050561797752809,-0.055999999999999994,0.050561797752809,-0.0027191011235954965
XGBClassifier,0.977999985218048,0.0636999979615211,0.0952,0.1537,0.0197,0.1278,0.0811,0.1341,0.0127,0.0949,0.9533333333333334,0.8277482715059971,0.95,0.8129107073830693,0.1755,0.0382,0.1156,0.8343234234718564,0.4936061381074169,0.8343234234718564,0.6666666666666666,"[[1868    0]
 [  32  200]]","[[1002    0]
 [   0  182]]","[[866   0]
 [ 32  18]]","[[411   7]
 [ 28  61]]","[[386   5]
 [  2   0]]","[[411   7]
 [ 28  61]]","[[378   0]
 [ 10   5]]",unfair,sample_3000_sep_3_flipped_0.7.csv,study_adult,2025-09-21T11:15:08.777310,3000,3.0,0.7,411,7,28,61,378,0,10,5,411,7,28,61,386.0,5.0,2.0,0.0,1868,0,32,200,1002.0,0.0,0.0,182.0,866,0,32,18,3.0,-0.134,-0.6853932584269663,-0.1214,-0.6853932584269663,-0.4033966292134831
RandomForestClassifier,0.9551,0.0893,0.0967,0.163,0.0109,0.067,0.0544,0.0927,0.0051,0.0549,0.9577777777777776,0.7821191154524487,0.9411111111111112,0.739375,0.1538,0.056,0.1111,0.7937062937062938,0.4974358974358974,0.7937062937062938,0.5454545454545454,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[428   1]
 [ 32  46]]","[[388   2]
 [  3   0]]","[[428   1]
 [ 32  46]]","[[371   0]
 [ 20   2]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:08.895627,3000,3.0,0.8,428,1,32,46,371,0,20,2,428,1,32,46,388.0,2.0,3.0,0.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,-0.5897435897435898,-0.08760000000000001,-0.5897435897435898,-0.3386717948717949
LogisticRegression,0.9207,0.0723,0.0967,0.163,0.0109,0.067,0.0411,0.0533,0.0254,0.4778,0.9311111111111112,0.667345000678334,0.9277777777777778,0.6793750000000001,0.1538,0.056,0.1111,0.6655011655011654,0.823076923076923,0.6655011655011654,0.7272727272727273,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[428   1]
 [ 52  26]]","[[382   8]
 [  1   2]]","[[428   1]
 [ 52  26]]","[[371   0]
 [ 12  10]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:08.961744,3000,3.0,0.8,428,1,52,26,371,0,12,10,428,1,52,26,382.0,8.0,1.0,2.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,0.3333333333333333,-0.0279,0.3333333333333333,0.15271666666666667
SVC,0.9128,0.1392,0.0967,0.163,0.0109,0.067,0.0111,0.0158,0.0051,0.3225,0.9188888888888888,0.554945054945055,0.9,0.55,0.1538,0.056,0.1111,0.5512820512820513,0.6653846153846154,0.5512820512820513,0.5454545454545454,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[429   0]
 [ 70   8]]","[[389   1]
 [  2   1]]","[[429   0]
 [ 70   8]]","[[371   0]
 [ 20   2]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:09.078886,3000,3.0,0.8,429,0,70,8,371,0,20,2,429,0,70,8,389.0,1.0,2.0,1.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,0.23076923076923075,-0.010700000000000001,0.23076923076923075,0.11003461538461537
LinearDiscriminantAnalysis,0.9799,0.0592,0.0967,0.163,0.0109,0.067,0.0544,0.0868,0.0127,0.1466,0.9555555555555556,0.7753357753357754,0.9411111111111112,0.739375,0.1538,0.056,0.1111,0.7744755244755245,0.8294871794871794,0.7744755244755245,0.6136363636363636,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[428   1]
 [ 35  43]]","[[387   3]
 [  1   2]]","[[428   1]
 [ 35  43]]","[[371   0]
 [ 17   5]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:09.134091,3000,3.0,0.8,428,1,35,43,371,0,17,5,428,1,35,43,387.0,3.0,1.0,2.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,0.11538461538461531,-0.0741,0.11538461538461531,0.020642307692307654
GradientBoostingClassifier,0.9661,0.0723,0.0967,0.163,0.0109,0.067,0.0678,0.1065,0.0178,0.1672,0.9577777777777776,0.8154931488264822,0.9477777777777778,0.7825,0.1538,0.056,0.1111,0.8234265734265734,0.658974358974359,0.8234265734265734,0.6350159274687577,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[426   3]
 [ 27  51]]","[[384   6]
 [  2   1]]","[[426   3]
 [ 27  51]]","[[370   1]
 [ 16   6]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:09.555410,3000,3.0,0.8,426,3,27,51,370,1,16,6,426,3,27,51,384.0,6.0,2.0,1.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,-0.32051282051282054,-0.0887,-0.32051282051282054,-0.20460641025641027
MLPClassifier,1.0,0.0,0.0967,0.163,0.0109,0.067,0.0433,0.0592,0.0229,0.387,0.9377777777777778,0.6932573599240266,0.9322222222222222,0.6950000000000001,0.1538,0.056,0.1111,0.6923076923076923,0.8243589743589743,0.6923076923076923,0.7045454545454546,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[429   0]
 [ 48  30]]","[[383   7]
 [  1   2]]","[[429   0]
 [ 48  30]]","[[371   0]
 [ 13   9]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:10.028642,3000,3.0,0.8,429,0,48,30,371,0,13,9,429,0,48,30,383.0,7.0,1.0,2.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,0.282051282051282,-0.0363,0.282051282051282,0.122875641025641
KNeighborsClassifier,0.9513,0.0975,0.0967,0.163,0.0109,0.067,0.0622,0.0927,0.0229,0.247,0.9544444444444444,0.7914122914122914,0.9511111111111112,0.78,0.1538,0.056,0.1111,0.8012820512820513,0.6564102564102564,0.8012820512820513,0.7045454545454546,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[429   0]
 [ 31  47]]","[[382   8]
 [  2   1]]","[[429   0]
 [ 31  47]]","[[371   0]
 [ 13   9]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:10.088686,3000,3.0,0.8,429,0,31,47,371,0,13,9,429,0,31,47,382.0,8.0,2.0,1.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,-0.2692307692307692,-0.0698,-0.2692307692307692,-0.16951538461538462
QuadraticDiscriminantAnalysis,0.9951,0.0348,0.0967,0.163,0.0109,0.067,0.8189,0.8521,0.7761,0.9108,0.2688888888888889,0.592728259394926,0.2855555555555555,0.585,0.1538,0.056,0.1111,0.5798368298368298,0.6128205128205129,0.5798368298368298,0.5704484195050232,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[ 74 355]
 [  1  77]]","[[ 88 302]
 [  0   3]]","[[ 74 355]
 [  1  77]]","[[ 86 285]
 [  2  20]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:10.192005,3000,3.0,0.8,74,355,1,77,86,285,2,20,74,355,1,77,88.0,302.0,0.0,3.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,0.012820512820512775,-0.07599999999999996,0.012820512820512775,-0.03158974358974359
GaussianNB,0.9949,0.0268,0.0967,0.163,0.0109,0.067,0.0433,0.0572,0.0254,0.4449,0.9333333333333332,0.6796906796906796,0.9277777777777778,0.6837500000000001,0.1538,0.056,0.1111,0.6783216783216783,0.823076923076923,0.6783216783216783,0.7031977456505758,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[428   1]
 [ 50  28]]","[[382   8]
 [  1   2]]","[[428   1]
 [ 50  28]]","[[370   1]
 [ 13   9]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:10.246230,3000,3.0,0.8,428,1,50,28,370,1,13,9,428,1,50,28,382.0,8.0,1.0,2.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,0.30769230769230765,-0.0318,0.30769230769230765,0.13794615384615383
XGBClassifier,0.9786999821662904,0.0700000002980232,0.0967,0.163,0.0109,0.067,0.0644,0.1085,0.0076,0.0704,0.9566666666666668,0.8037579704246371,0.94,0.7562500000000001,0.1538,0.056,0.1111,0.8146853146853147,0.4961538461538461,0.8146853146853147,0.5441068365596667,"[[1864    0]
 [  33  203]]","[[991   0]
 [  0 193]]","[[873   0]
 [ 33  10]]","[[424   5]
 [ 28  50]]","[[387   3]
 [  3   0]]","[[424   5]
 [ 28  50]]","[[370   1]
 [ 20   2]]",unfair,sample_3000_sep_3_flipped_0.8.csv,study_adult,2025-09-21T11:15:10.482039,3000,3.0,0.8,424,5,28,50,370,1,20,2,424,5,28,50,387.0,3.0,3.0,0.0,1864,0,33,203,991.0,0.0,0.0,193.0,873,0,33,10,3.0,-0.1521,-0.6410256410256411,-0.1009,-0.6410256410256411,-0.37096282051282053
RandomForestClassifier,0.9551,0.0876,0.0933,0.1596,0.0076,0.0479,0.07,0.1164,0.0102,0.0875,0.9677777777777776,0.8506023018665394,0.9577777777777776,0.8125070934059698,0.1617,0.0433,0.11,0.8524820659971306,0.989821882951654,0.8524820659971306,0.6176470588235294,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[424   1]
 [ 24  58]]","[[389   4]
 [  0   0]]","[[424   1]
 [ 24  58]]","[[376   0]
 [ 13   4]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:10.595600,3000,3.0,0.9,424,1,24,58,376,0,13,4,424,1,24,58,389.0,4.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.1062,,
LogisticRegression,0.9152,0.0729,0.0933,0.1596,0.0076,0.0479,0.0489,0.073,0.0178,0.2441,0.9422222222222222,0.721331027491204,0.9388888888888888,0.7222222222222222,0.1617,0.0433,0.11,0.725609756097561,0.9821882951653944,0.725609756097561,0.7058823529411764,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[425   0]
 [ 45  37]]","[[386   7]
 [  0   0]]","[[425   0]
 [ 45  37]]","[[376   0]
 [ 10   7]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:10.659139,3000,3.0,0.9,425,0,45,37,376,0,10,7,425,0,45,37,386.0,7.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.0552,,
SVC,0.9137,0.125,0.0933,0.1596,0.0076,0.0479,0.0122,0.0197,0.0025,0.129,0.9188888888888888,0.5603643628123323,0.9022222222222224,0.5555555555555556,0.1617,0.0433,0.11,0.5609756097560976,0.9974554707379136,0.5609756097560976,0.5294117647058824,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[425   0]
 [ 72  10]]","[[392   1]
 [  0   0]]","[[425   0]
 [ 72  10]]","[[376   0]
 [ 16   1]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:10.812822,3000,3.0,0.9,425,0,72,10,376,0,16,1,425,0,72,10,392.0,1.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.0172,,
LinearDiscriminantAnalysis,0.9741,0.0727,0.0933,0.1596,0.0076,0.0479,0.0767,0.1282,0.0102,0.0794,0.9588888888888888,0.8402260122845727,0.9488888888888888,0.8030870502780615,0.1617,0.0433,0.11,0.8381492109038737,0.989821882951654,0.8381492109038737,0.6176470588235294,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[417   8]
 [ 25  57]]","[[389   4]
 [  0   0]]","[[417   8]
 [ 25  57]]","[[376   0]
 [ 13   4]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:10.893875,3000,3.0,0.9,417,8,25,57,376,0,13,4,417,8,25,57,389.0,4.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.11800000000000001,,
GradientBoostingClassifier,0.9682,0.061,0.0933,0.1596,0.0076,0.0479,0.0822,0.1321,0.0178,0.1348,0.9622222222222222,0.8640050092432465,0.9588888888888888,0.8396890250822835,0.1617,0.0433,0.11,0.8648923959827833,0.9821882951653944,0.8648923959827833,0.7058823529411764,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[419   6]
 [ 21  61]]","[[386   7]
 [  0   0]]","[[419   6]
 [ 21  61]]","[[376   0]
 [ 10   7]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:11.261922,3000,3.0,0.9,419,6,21,61,376,0,10,7,419,6,21,61,386.0,7.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.1143,,
MLPClassifier,1.0,0.0,0.0933,0.1596,0.0076,0.0479,0.0578,0.0888,0.0178,0.2007,0.9511111111111112,0.770111515296082,0.9477777777777778,0.7626262626262627,0.1617,0.0433,0.11,0.774390243902439,0.9821882951653944,0.774390243902439,0.7058823529411764,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[425   0]
 [ 37  45]]","[[386   7]
 [  0   0]]","[[425   0]
 [ 37  45]]","[[376   0]
 [ 10   7]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:11.683939,3000,3.0,0.9,425,0,37,45,376,0,10,7,425,0,37,45,386.0,7.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.07100000000000001,,
KNeighborsClassifier,0.9522,0.1011,0.0933,0.1596,0.0076,0.0479,0.0544,0.0809,0.0204,0.2517,0.9455555555555556,0.7451100244498777,0.9444444444444444,0.7474747474747475,0.1617,0.0433,0.11,0.75,0.979643765903308,0.75,0.7352941176470589,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[425   0]
 [ 41  41]]","[[385   8]
 [  0   0]]","[[425   0]
 [ 41  41]]","[[376   0]
 [  9   8]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:11.743963,3000,3.0,0.9,425,0,41,41,376,0,9,8,425,0,41,41,385.0,8.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.0605,,
QuadraticDiscriminantAnalysis,0.9965,0.0289,0.0933,0.1596,0.0076,0.0479,0.8511,0.8797,0.8142,0.9256,0.2355555555555555,0.5684894746257976,0.2522222222222222,0.5666212688684599,0.1617,0.0433,0.11,0.5572166427546629,0.1857506361323155,0.5572166427546629,0.5663329161451814,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[ 59 366]
 [  2  80]]","[[ 73 320]
 [  0   0]]","[[ 59 366]
 [  2  80]]","[[ 72 304]
 [  1  16]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:11.850253,3000,3.0,0.9,59,366,2,80,72,304,1,16,59,366,2,80,73.0,320.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.0655,,
GaussianNB,0.9904,0.046,0.0933,0.1596,0.0076,0.0479,0.05,0.073,0.0204,0.2789,0.9411111111111112,0.7207197805474387,0.9377777777777778,0.7215980024968789,0.1617,0.0433,0.11,0.725609756097561,0.979643765903308,0.725609756097561,0.7045525657071339,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[425   0]
 [ 45  37]]","[[385   8]
 [  0   0]]","[[425   0]
 [ 45  37]]","[[375   1]
 [ 10   7]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:11.896865,3000,3.0,0.9,425,0,45,37,375,1,10,7,425,0,45,37,385.0,8.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.052599999999999994,,
XGBClassifier,0.9800999760627748,0.0626000016927719,0.0933,0.1596,0.0076,0.0479,0.0856,0.14,0.0153,0.109,0.9588888888888888,0.8621712684119507,0.9533333333333334,0.8321416411304052,0.1617,0.0433,0.11,0.8601865136298421,0.9847328244274808,0.8601865136298421,0.6764705882352942,"[[1863    0]
 [  41  196]]","[[995   0]
 [  0 189]]","[[868   0]
 [ 41   7]]","[[415  10]
 [ 21  61]]","[[387   6]
 [  0   0]]","[[415  10]
 [ 21  61]]","[[376   0]
 [ 11   6]]",unfair,sample_3000_sep_3_flipped_0.9.csv,study_adult,2025-09-21T11:15:12.133077,3000,3.0,0.9,415,10,21,61,376,0,11,6,415,10,21,61,387.0,6.0,0.0,0.0,1863,0,41,196,995.0,0.0,0.0,189.0,868,0,41,7,3.0,-0.152,,-0.12470000000000002,,
RandomForestClassifier,0.7241,0.1362,0.5882,0.5999,0.5121,0.8536,0.6892,0.7029,0.6,0.8536,0.6891666666666667,0.6542119565217391,0.6891666666666667,0.6542119565217391,0.6288,0.5125,0.6133,0.6345367685506489,0.7601626016260162,0.6345367685506489,0.7601626016260162,"[[1153    0]
 [   0 1647]]","[[ 971    0]
 [   0 1456]]","[[182   0]
 [  0 191]]","[[180 206]
 [129 525]]","[[52 26]
 [12 70]]","[[180 206]
 [129 525]]","[[52 26]
 [12 70]]",unfair,sample_4000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:15:12.285168,4000,1.0,0.0,180,206,129,525,52,26,12,70,180,206,129,525,52.0,26.0,12.0,70.0,1153,0,0,1647,971.0,0.0,0.0,1456.0,182,0,0,191,1.0,-0.08779999999999999,0.05090624300738422,-0.10289999999999999,0.05090624300738422,-0.025996878496307885
LogisticRegression,0.6937,0.0638,0.5882,0.5999,0.5121,0.8536,0.8,0.8231,0.65,0.7897,0.7116666666666667,0.6514477136431784,0.7116666666666667,0.6514477136431784,0.6288,0.5125,0.6133,0.6332889670580406,0.7338961851156973,0.6332889670580406,0.7338961851156973,"[[1153    0]
 [   0 1647]]","[[ 971    0]
 [   0 1456]]","[[182   0]
 [  0 191]]","[[133 253]
 [ 51 603]]","[[46 32]
 [10 72]]","[[133 253]
 [ 51 603]]","[[46 32]
 [10 72]]",unfair,sample_4000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:15:12.365235,4000,1.0,0.0,133,253,51,603,46,32,10,72,133,253,51,603,46.0,32.0,10.0,72.0,1153,0,0,1647,971.0,0.0,0.0,1456.0,182,0,0,191,1.0,-0.08779999999999999,-0.043969568136048354,-0.17310000000000003,-0.043969568136048354,-0.10853478406802419
SVC,0.5855,0.1435,0.5882,0.5999,0.5121,0.8536,1.0,1.0,1.0,1.0,0.6133333333333333,0.5,0.6133333333333333,0.5,0.6288,0.5125,0.6133,0.5,0.5,0.5,0.5,"[[1153    0]
 [   0 1647]]","[[ 971    0]
 [   0 1456]]","[[182   0]
 [  0 191]]","[[  0 386]
 [  0 654]]","[[ 0 78]
 [ 0 82]]","[[  0 386]
 [  0 654]]","[[ 0 78]
 [ 0 82]]",unfair,sample_4000_sep_1_flipped_0.0.csv,study_adult,2025-09-21T11:15:12.724319,4000,1.0,0.0,0,386,0,654,0,78,0,82,0,386,0,654,0.0,78.0,0.0,82.0,1153,0,0,1647,971.0,0.0,0.0,1456.0,182,0,0,191,1.0,-0.08779999999999999,0.0,0.0,0.0,0.0
